crime,year,month,day
Murder: First Degree,2016,09,16
Robbery,2016,08,05
Robbery,2016,08,07
Robbery,2016,08,12
Exhibiting Dead.Wp.Not Firearm,2018,02,04
Attempted Murder,2017,12,23
Robbery,2017,12,28
Possess Firearm While Possess Narc,2017,11,27
Robbery,2017,09,29
Attempted Murder,2017,07,27
Robbery,2017,08,02
Non-Crime,2018,04,05
Non-Crime,2018,04,07
Non-Crime,2017,01,17
Non-Crime,2017,02,01
Non-Crime,2018,02,21
Non-Crime,2018,02,19
Non-Crime,2018,02,22
Non-Crime,2018,03,05
Psychiatric Detention,2018,03,10
Non-Crime,2016,09,03
Non-Crime,2016,09,08
Non-Crime,2018,01,22
Non-Crime,2018,01,23
Non-Crime,2018,02,05
Non-Crime,2018,01,05
Non-Crime,2017,12,30
Psychiatric Detention,2017,11,30
Non-Crime,2017,12,02
Non-Crime,2017,10,27
Non-Crime,2017,08,05
Vandalism:deface Property,2018,03,18
Malicious Mischief (over $400),2018,03,18
Malicious Mischief (over $400),2018,03,18
Vandalism Less Than $400,2018,03,24
Drunk Or Disorderly,2018,04,03
Malicious Mischief (over $400),2018,04,01
Vandalism Less Than $400,2018,04,07
Drunk Or Disorderly,2018,04,12
Trespass Prohibited On Posted Land,2017,06,23
Trespass Prohibited On Posted Land,2017,07,16
Drunk Or Disorderly,2017,05,06
Drinking In Public,2017,05,28
Trespass Prohibited On Posted Land,2017,05,31
Drunk Or Disorderly,2017,06,01
Vandalism Less Than $400,2017,02,28
Indecent Exposure,2017,01,09
Vandalism Less Than $400,2016,10,19
Drunk Or Disorderly,2018,02,19
Trespass Prohibited On Posted Land,2018,02,20
Drunk Or Disorderly,2018,03,02
Drunk Or Disorderly,2018,03,10
Vandalism:deface Property,2018,03,13
Malicious Mischief (over $400),2018,03,16
Drunk Or Disorderly,2018,01,24
Indecent Exposure,2018,02,02
Drunk Or Disorderly,2018,02,05
Drunk Or Disorderly,2018,02,13
Drinking In Public,2017,11,26
Drinking In Public,2017,12,10
Drunk Or Disorderly,2017,12,13
Minor Possession Tobacco Product,2017,10,29
Drunk Or Disorderly,2017,11,06
Drunk Or Disorderly,2017,11,08
Drinking In Public,2017,11,14
Drunk Or Disorderly,2017,09,17
Drunk Or Disorderly,2017,09,17
Drunk Or Disorderly,2017,09,23
Urinating In Public,2017,10,03
Drunk Or Disorderly,2017,09,08
Vandalism:deface Property,2018,03,18
Malicious Mischief (over $400),2018,03,18
Vandalism Less Than $400,2018,03,24
Vandalism:deface Property,2018,03,24
Vehicle Theft,2018,03,28
Vandalism:deface Property,2018,03,27
Burglary,2018,04,01
Malicious Mischief (over $400),2018,04,01
Arson (Property Damage Only),2018,04,10
Unauthorized Use Of Personal Info,2018,04,05
Knowingly Possess Stolen Property,2018,04,16
Vehicle Theft,2017,05,02
Vehicle Theft,2017,05,09
Malicious Mischief (over $400),2017,05,29
Malicious Mischief (over $400),2017,05,29
Vehicle Theft,2017,04,12
Knowingly Possess Stolen Property,2017,02,19
Vehicle Theft,2017,03,14
Vehicle Theft,2016,12,21
Fraudulent Poss Forge Check,2016,12,28
Malicious Mischief (over $400),2016,11,17
Vehicle Theft,2016,10,28
Vehicle Theft,2016,11,01
Vehicle Theft,2016,10,30
Vehicle Theft,2016,11,14
Vehicle Theft,2016,09,17
Vehicle Tampering,2018,02,19
Vehicle Theft,2018,02,18
Theft,2018,02,24
Vandalism:deface Property,2018,03,09
Vandalism:deface Property,2018,03,13
Vehicle Theft,2018,03,15
Theft,2018,03,03
Vehicle Theft,2016,08,17
Vehicle Theft,2016,08,23
Vehicle Theft,2016,08,31
Knowingly Possess Stolen Property,2016,09,15
Vehicle Theft,2016,07,26
Vehicle Theft,2016,07,28
Malicious Mischief (over $400),2018,01,28
Malicious Mischief (over $400),2018,01,22
Vehicle Theft,2018,02,01
Vehicle Theft,2018,02,12
Vehicle Theft,2017,12,21
Vehicle Theft,2017,11,20
Burglary,2017,11,27
Burglary,2017,11,26
Unlawfully Causing A Fire,2017,10,27
Vehicle Theft,2017,11,09
Vehicle Theft,2017,09,24
Knowingly Possess Stolen Property,2017,09,24
Theft Of Found Property,2017,10,04
Vehicle Theft,2017,10,12
Attempted Car Jacking,2017,10,12
Vehicle Theft,2017,08,19
Vehicle Theft,2017,08,22
Theft,2017,08,24
Vandalism,2017,07,17
Vehicle Theft,2017,07,17
Vehicle Theft,2017,07,17
Vehicle Theft,2017,07,19
Malicious Mischief (over $400),2017,08,05
Battery,2018,03,18
Battery,2018,04,03
Violation Of Court Order,2018,04,04
Threatening A Violent Assault,2018,04,11
Battery,2018,04,13
Assault With Deadly Weapon,2018,04,14
Robbery,2017,06,24
Robbery,2017,05,01
Assault With Deadly Weapon,2017,05,04
Assault With Deadly Weapon,2017,05,06
Battery,2017,05,19
Threatening A Violent Assault,2017,05,23
Assault With Deadly Weapon,2017,05,27
Robbery/Car Jacking,2017,05,31
Attempted Murder,2017,06,03
Robbery,2017,03,21
Battery,2017,03,28
Battery,2017,01,17
Robbery,2017,01,21
Attempted Murder,2017,01,29
Battery,2017,02,01
Robbery,2017,02,01
Battery,2017,02,06
Robbery,2017,02,10
Attempted Murder,2017,02,12
Robbery,2017,03,06
Resist Or Delay Officer,2017,03,16
Battery,2016,12,21
Resist Or Delay Officer,2016,11,22
Robbery,2016,12,07
Shoot At Inhabited Dwelling/Vehicle,2016,12,09
Battery,2016,10,26
Resist Or Delay Officer,2016,09,18
Battery,2016,09,22
Attempted Murder,2016,10,04
Robbery,2016,10,06
Resist Or Delay Officer,2016,10,13
Battery,2016,10,14
Robbery,2018,02,18
Robbery/Car Jacking,2018,02,18
Battery,2018,02,27
Robbery,2018,02,28
Robbery,2018,03,10
Resist Or Delay Officer,2016,08,18
Attempted Robbery,2016,08,28
Resist Or Delay Officer,2016,09,02
Battery,2016,09,02
Assault With Deadly Weapon,2016,09,06
Resist Or Delay Officer,2016,07,19
Resist Or Delay Officer,2016,07,30
Attempted Murder,2016,07,29
Robbery,2016,08,05
Robbery,2016,08,07
Assault With Deadly Weapon,2016,08,07
Robbery,2016,08,07
Attempted Kidnapping,2016,08,08
Robbery,2016,08,11
Attempted Robbery,2018,01,26
Robbery,2018,02,06
Battery,2017,12,28
Battery,2017,12,27
Resist Or Delay Officer,2018,01,06
Resist Or Delay Officer,2018,01,06
Attempted Murder,2018,01,13
Robbery,2017,11,20
Assault With Deadly Weapon,2017,11,25
Resist Or Delay Officer,2017,12,05
Robbery,2017,12,01
Resist Or Delay Officer,2017,12,12
Robbery,2017,11,01
Assault With Deadly Weapon,2017,11,12
Assault With Deadly Weapon,2017,09,23
Robbery,2017,09,22
Attempted Car Jacking,2017,10,12
Assault With Deadly Weapon,2017,08,21
Robbery,2017,08,22
Robbery,2017,09,01
Violation Of Court Order,2017,09,01
Resist Or Delay Officer,2017,09,12
False Imprisonment,2017,09,14
Resist Or Delay Officer,2017,09,15
Assault With Deadly Weapon,2017,07,21
Attempted Murder,2017,07,27
Assault With Deadly Weapon,2017,08,08
Attempted Murder,2017,08,09
Sexual Touch Against Will Of Victim,2018,03,23
Child Endanger/Cruelty,2017,06,18
Allowing/Causing Child Endangermnt,2017,07,12
Annoying Or Molesting Children,2017,04,19
Allowing/Causing Child Endangermnt,2017,03,21
Child Endanger/Cruelty,2017,03,15
Allowing/Causing Child Endangermnt,2016,07,26
Child Endanger/Cruelty,2018,01,23
Allowing/Causing Child Endangermnt,2017,12,23
Sexual Battery-Restrained Victim,2017,09,17
Sexual Touch Against Will Of Victim,2018,03,23
Assault On Spouse/Cohabitant,2018,04,04
Assault On Spouse/Cohabitant,2017,07,12
Assault On Spouse/Cohabitant,2017,03,12
Battery On Spouse/Cohabitant,2016,12,20
Battery On Spouse/Cohabitant,2016,12,15
Battery On Spouse/Cohabitant,2016,10,26
Assault On Spouse/Cohabitant,2018,03,06
Battery On Spouse/Cohabitant,2016,08,27
Assault On Spouse/Cohabitant,2016,07,20
Assault On Spouse/Cohabitant,2018,01,20
Assault On Spouse/Cohabitant,2018,02,01
Assault On Spouse/Cohabitant,2018,02,09
Violation Of Court Order,2018,02,12
Assault On Spouse/Cohabitant,2017,11,22
Assault On Spouse/Cohabitant,2017,10,27
Battery On Spouse/Cohabitant,2017,10,28
Sexual Battery-Restrained Victim,2017,09,17
Battery On Spouse/Cohabitant,2017,09,18
Contempt Of Court,2017,10,10
Contempt Of Court,2017,10,16
Battery On Spouse/Cohabitant,2017,08,27
Battery On Spouse/Cohabitant,2017,07,21
Annoy/Etc Child Under 18,2017,07,02
Rape,2017,04,19
Rape,2017,04,29
Annoying Or Molesting Children,2017,01,17
Annoying Or Molesting Children,2017,02,12
Oral Copulation W/Person Under 18,2016,08,31
Rape,2016,08,09
Possess Controlled Substance,2018,03,19
Possession Of Paraphernalia,2018,03,19
Under Influence Controlled Substanc,2018,03,20
Possess Controlled Substance,2018,04,04
Possession Of Paraphernalia,2018,04,09
Possess Firearm While Possess Narc,2018,04,10
Possess Controlled Substance,2018,04,12
Possess Control Substance For Sale,2017,06,18
Possess Controlled Substance,2017,06,20
Possession Of Paraphernalia,2017,06,27
Possess Controlled Substance,2017,07,03
Possession Of Paraphernalia,2017,07,03
Possession Of Paraphernalia,2017,07,03
Possession Of Paraphernalia,2017,07,04
Possess Controlled Substance,2017,07,04
Possess Controlled Substance,2017,07,12
Under Influence Controlled Substanc,2017,07,14
Under Influence Controlled Substanc,2017,07,16
Possess Controlled Substance,2017,04,17
Possess Controlled Substance,2017,04,20
Possess Controlled Substance,2017,04,23
Cultivation Of Marijuana,2017,04,26
Possess Controlled Substance,2017,04,27
Possess Controlled Substance,2017,04,28
Under Influence Controlled Substanc,2017,05,07
Possess Controlled Substance,2017,05,10
Possess Controlled Substance,2017,05,14
Possess Controlled Substance,2017,05,15
Possess Controlled Substance,2017,05,16
Possess Controlled Substance,2017,05,18
Under Influence Controlled Substanc,2017,05,30
Under Influence Controlled Substanc,2017,06,04
Under Influence Controlled Substanc,2017,06,06
Possess Control Substance W/O Presc,2017,06,08
Possess Narcotic Controlled Substnc,2017,03,31
Possess Controlled Substance,2017,04,12
Under Influence Controlled Substanc,2017,04,15
Sell/Transport Marijuana,2017,01,25
Possess Controlled Substance,2017,01,26
Possess Controlled Substance,2017,02,04
Possession Of Paraphernalia,2017,02,15
Under Influence Controlled Substanc,2017,02,18
Under Influence Controlled Substanc,2017,02,19
Possess Controlled Substance,2017,02,25
Possess Narcotic Controlled Substnc,2017,03,05
Possession Of Paraphernalia,2017,03,12
Under Influence Controlled Substanc,2017,03,14
Possession Of Paraphernalia,2016,12,27
Under Influence Controlled Substanc,2016,12,28
Possess Controlled Substance,2016,12,31
Possession Of Paraphernalia,2017,01,03
Possession Of Paraphernalia,2017,01,12
Possess Controlled Substance,2016,11,18
Possess Controlled Substance,2016,11,22
Possess Controlled Substance,2016,11,23
Possess Controlled Substance,2016,11,26
Possess Controlled Substance,2016,12,03
Possession Of Paraphernalia,2016,12,04
Possession Of Paraphernalia,2016,12,04
Possession Of Paraphernalia,2016,12,04
Possess Control Substance For Sale,2016,12,10
Possession Of Paraphernalia,2016,12,10
Possess Control Substance For Sale,2016,12,11
Possession Of Paraphernalia,2016,10,18
Possess Controlled Substance,2016,10,20
Under Influence Controlled Substanc,2016,10,29
Possess Controlled Substance,2016,10,30
Poss Less Than 1 Oz. Of Marijuana,2016,11,02
Possess Control Substance For Sale,2016,11,04
Possess Narcotic Controlled Substnc,2016,11,16
Possession Of Paraphernalia,2016,08,26
Possession Of Paraphernalia,2016,08,26
Possess Controlled Substance,2016,08,28
Possess Narcotic Controlled Substnc,2016,09,01
Possess Controlled Substance,2016,09,05
Possession Of Paraphernalia,2016,09,08
Possess Controlled Substance,2016,09,12
Possess Controlled Substance,2018,02,17
Possession Concentrated Marijuana,2018,02,21
Possession Of Paraphernalia,2018,02,28
Possess Controlled Substance,2018,03,11
Possess Controlled Substance,2018,03,13
Possession Of Paraphernalia,2018,03,16
Under Influence Controlled Substanc,2016,07,18
Possess Controlled Substance,2016,07,22
Possession Of Paraphernalia,2016,07,25
Possess Controlled Substance,2016,07,31
Possess Narcotic Controlled Substnc,2016,08,02
Poss Less Than 1 Oz. Of Marijuana,2016,08,05
Possession Of Paraphernalia,2016,09,21
Possession Of Paraphernalia,2016,09,26
Possession For Sale - Narcotics,2016,09,28
Possession Concentrated Marijuana,2016,09,30
Poss Less Than 1 Oz. Of Marijuana,2016,10,03
Possess Narcotic Controlled Substnc,2016,10,05
Poss More Than 1 Oz. Of Marijuana,2016,10,13
Possession Of Paraphernalia,2018,01,17
Possess Narcotic Controlled Substnc,2018,01,23
Possession Of Paraphernalia,2018,01,25
Under Influence Controlled Substanc,2018,01,25
Possession Of Paraphernalia,2018,01,31
Possess Narcotic Controlled Substnc,2018,02,03
Possess Controlled Substance,2018,02,04
Possess Controlled Substance,2018,02,05
Possess Controlled Substance,2018,02,08
Possess Control Substance For Sale,2018,02,15
Possession For Sale - Narcotics,2018,02,16
Possess Controlled Substance,2017,12,18
Possession Of Paraphernalia,2017,12,20
Cultivation Of Marijuana,2018,01,02
Possession Of Paraphernalia,2018,01,06
Possess Controlled Substance,2018,01,13
Possess Controlled Substance,2018,01,15
Possession Of Paraphernalia,2018,01,16
Possession For Sale - Narcotics,2017,11,18
Under Influence Controlled Substanc,2017,11,19
Possession Of Paraphernalia,2017,11,20
Possess Controlled Substance,2017,11,24
Possession Of Paraphernalia,2017,11,25
Possess Controlled Substance,2017,11,27
Possession Of Paraphernalia,2017,12,01
Possession Of Paraphernalia,2017,12,08
Possess Narcotic Controlled Substnc,2017,12,08
Possession Of Paraphernalia,2017,12,09
Under Influence Controlled Substanc,2017,12,16
Possess Narcotic Controlled Substnc,2017,10,17
Possess Controlled Substance,2017,11,04
Possession Of Paraphernalia,2017,11,11
Possession Of Paraphernalia,2017,11,14
Possess Controlled Substance,2017,09,21
Possession Of Paraphernalia,2017,09,25
Possess Controlled Substance,2017,10,02
Possess Narcotic Controlled Substnc,2017,10,05
Possess Controlled Substance,2017,10,07
Possess Narcotic Controlled Substnc,2017,10,15
Possess Controlled Substance,2017,08,17
Possess Controlled Substance,2017,08,17
Possession Of Paraphernalia,2017,08,22
Possess Narcotic Controlled Substnc,2017,08,23
Possess Narcotic Controlled Substnc,2017,08,29
Possess Controlled Substance,2017,09,09
Possess Narcotic Controlled Substnc,2017,09,13
Possess Controlled Substance,2017,07,21
Possess Narcotic Controlled Substnc,2017,07,25
Possession Of Paraphernalia,2017,07,27
Possess Controlled Substance,2017,07,28
Possess Controlled Substance,2017,08,02
Possession Of Paraphernalia,2017,08,11
Possess Controlled Substance,2017,08,13
Exhibiting Dead.Wp.Not Firearm,2018,03,17
Attempted Robbery,2018,03,27
Exhibiting Dead.Wp.Not Firearm,2018,03,27
Exhibiting Dead.Wp.Not Firearm,2018,04,01
Exhibiting Firearm,2018,04,10
Possess Firearm While Possess Narc,2018,04,10
Exhibiting Dead.Wp.Not Firearm,2018,04,11
Robbery,2017,06,27
Attempted Murder,2017,06,29
Murder: First Degree,2017,07,08
Robbery,2017,07,10
Robbery,2017,04,21
Robbery,2017,04,25
Attempted Murder,2017,04,28
Robbery,2017,05,02
Exhibiting Dead.Wp.Not Firearm,2017,05,22
Robbery,2017,05,23
Robbery,2017,05,24
Robbery,2017,06,01
Attempted Murder,2017,06,04
Attempted Murder,2017,06,16
Attempted Murder,2017,03,20
Robbery,2017,03,30
Attempted Murder,2017,03,31
Exhibiting Firearm,2017,04,01
Exhibiting Dead.Wp.Not Firearm,2017,04,06
Robbery,2017,04,07
Robbery,2017,04,07
Murder: First Degree,2017,02,18
Robbery,2017,02,22
Attempted Murder,2017,01,21
Robbery,2017,01,27
Robbery,2017,02,01
Robbery,2017,02,10
Robbery,2017,02,15
Attempted Murder,2017,02,16
Robbery,2016,12,17
Robbery,2016,12,17
Robbery,2016,12,17
Robbery,2016,12,19
Robbery,2016,12,22
Robbery,2016,12,23
Robbery,2016,12,22
Robbery,2016,12,26
Robbery,2017,01,04
Robbery,2017,01,04
Robbery,2017,01,06
Attempted Murder,2017,01,07
Robbery,2017,01,07
Murder: First Degree,2017,01,07
Robbery,2017,01,10
Attempted Robbery,2017,01,11
Murder: First Degree,2017,01,12
Robbery,2016,11,19
Threatening A Violent Assault,2016,11,24
Attempted Murder,2016,11,25
Robbery,2016,12,02
Exhibiting Dead.Wp.Not Firearm,2016,10,21
Murder: First Degree,2016,11,02
Exhibiting Dead.Wp.Not Firearm,2016,11,06
Attempted Murder,2016,09,30
Robbery,2016,10,02
Attempted Murder,2016,10,04
Robbery,2016,10,10
Robbery,2016,10,12
Shoot At Inhabited Dwelling/Vehicle,2018,02,18
Shoot At Inhabited Dwelling/Vehicle,2018,02,19
Attempted Murder,2018,02,22
Attempted Robbery,2018,02,24
Exhibiting Firearm,2018,03,09
Exhibiting Dead.Wp.Not Firearm,2018,03,11
Attempted Murder,2016,08,26
Murder: First Degree,2016,08,28
Attempted Murder,2016,08,29
Attempted Murder,2016,08,29
Attempted Murder,2016,09,03
Attempted Murder,2016,09,05
Robbery,2016,08,02
Robbery,2016,08,02
Murder: First Degree,2016,08,08
Robbery,2016,08,11
Robbery,2016,08,11
Robbery,2016,08,11
Robbery,2018,01,18
Attempted Robbery,2018,01,18
Robbery,2018,01,19
Attempted Murder,2018,01,23
Robbery,2018,01,27
Robbery,2018,02,01
Robbery,2018,02,07
Exhibiting Dead.Wp.Not Firearm,2018,02,07
Robbery,2017,12,21
Robbery,2017,12,21
Robbery,2017,12,22
Exhibiting Firearm,2017,12,23
Robbery,2017,12,26
Robbery,2017,12,30
Attempted Robbery,2018,01,05
Robbery,2018,01,08
Robbery,2018,01,09
Exhibiting Firearm,2018,01,12
Exhibiting Dead.Wp.Not Firearm,2017,11,18
Attempted Robbery,2017,11,25
Exhibiting Dead.Wp.Not Firearm,2017,11,27
Assault With Deadly Weapon,2017,11,29
Attempted Murder,2017,12,04
Robbery,2017,12,11
Robbery,2017,12,15
Exhibiting Dead.Wp.Not Firearm,2017,10,18
Exhibiting Firearm,2017,10,20
Shoot At Inhabited Dwelling/Vehicle,2017,10,20
Robbery,2017,10,26
Attempted Robbery,2017,10,26
Exhibiting Dead.Wp.Not Firearm,2017,10,30
Robbery,2017,11,10
Exhibiting Dead.Wp.Not Firearm,2017,09,17
Shoot At Inhabited Dwelling/Vehicle,2017,09,24
Robbery,2017,09,25
Attempted Murder,2017,10,07
Attempted Murder,2017,10,08
Robbery/Car Jacking,2017,08,22
Exhibiting Firearm,2017,08,28
Attempted Murder,2017,08,30
Robbery/Car Jacking,2017,09,11
Attempted Murder,2017,07,19
Robbery,2017,07,18
Robbery,2017,08,04
Psychiatric Detention,2018,03,17
Non-Crime,2018,03,17
Non-Crime,2018,03,19
Non-Crime,2018,03,20
Non-Crime,2018,03,21
Psychiatric Detention,2018,03,22
Non-Crime,2018,03,22
Non-Crime,2018,03,23
Psychiatric Detention,2018,03,23
Non-Crime,2018,03,23
Non-Crime,2018,03,19
Non-Crime,2018,03,26
Non-Crime,2018,03,27
Non-Crime,2018,03,23
Non-Crime,2018,03,29
Non-Crime,2018,03,28
Non-Crime,2018,03,30
Non-Crime,2018,03,30
Psychiatric Detention,2018,04,02
Non-Crime,2018,03,31
Non-Crime,2018,04,03
Non-Crime,2018,04,06
Non-Crime,2018,04,11
Non-Crime,2018,04,11
Non-Crime,2018,04,12
Non-Crime,2018,04,13
Psychiatric Detention,2017,06,19
Non-Crime,2017,07,03
Non-Crime,2017,07,05
Non-Crime,2017,07,07
Non-Crime,2017,07,10
Non-Crime,2017,07,10
Non-Crime,2017,07,15
Non-Crime,2017,04,19
Non-Crime,2017,04,20
Non-Crime,2017,04,19
Psychiatric Detention,2017,04,25
Non-Crime,2017,04,26
Non-Crime,2017,04,19
Non-Crime,2017,04,26
Psychiatric Detention,2017,04,29
Non-Crime,2017,04,30
Non-Crime,2017,05,03
Non-Crime,2017,05,04
Non-Crime,2017,05,08
Non-Crime,2017,05,10
Non-Crime,2017,05,11
Non-Crime,2017,05,12
Psychiatric Detention,2017,05,13
Psychiatric Detention,2017,05,13
Non-Crime,2017,05,15
Non-Crime,2017,04,24
Non-Crime,2017,05,18
Non-Crime,2017,05,18
Non-Crime,2017,05,20
Non-Crime,2017,05,22
Non-Crime,2017,05,24
Non-Crime,2017,05,25
Non-Crime,2017,05,24
Non-Crime,2017,05,26
Non-Crime,2017,05,26
Non-Crime,2017,05,31
Non-Crime,2017,06,05
Non-Crime,2017,06,10
Non-Crime,2017,06,13
Non-Crime,2017,03,17
Non-Crime,2017,03,19
Non-Crime,2017,03,17
Non-Crime,2017,03,25
Non-Crime,2017,03,25
Psychiatric Detention,2017,03,26
Non-Crime,2017,03,25
Psychiatric Detention,2017,03,30
Non-Crime,2017,04,02
Non-Crime,2017,04,02
Psychiatric Detention,2017,04,03
Non-Crime,2017,04,04
Non-Crime,2017,04,05
Non-Crime,2017,04,04
Psychiatric Detention,2017,04,14
Non-Crime,2017,04,14
Non-Crime,2017,04,13
Non-Crime,2017,02,18
Non-Crime,2017,02,19
Non-Crime,2017,02,23
Psychiatric Detention,2017,02,26
Non-Crime,2017,02,25
Psychiatric Detention,2017,02,28
Non-Crime,2017,02,22
Non-Crime,2017,03,06
Non-Crime,2017,03,09
Psychiatric Detention,2017,03,09
Non-Crime,2017,03,06
Non-Crime,2017,03,09
Non-Crime,2017,03,10
Non-Crime,2017,03,15
Non-Crime,2017,03,15
Non-Crime,2017,01,17
Non-Crime,2017,01,19
Non-Crime,2017,01,21
Non-Crime,2017,01,23
Non-Crime,2017,01,24
Non-Crime,2017,01,26
Non-Crime,2017,01,27
Psychiatric Detention,2017,01,28
Non-Crime,2017,01,27
Psychiatric Detention,2017,01,30
Non-Crime,2017,01,30
Non-Crime,2017,02,02
Psychiatric Detention,2017,02,03
Non-Crime,2017,02,04
Non-Crime,2017,02,04
Non-Crime,2017,02,04
Psychiatric Detention,2017,02,06
Non-Crime,2017,02,02
Non-Crime,2017,02,06
Non-Crime,2017,02,08
Non-Crime,2017,02,10
Non-Crime,2017,02,03
Non-Crime,2017,02,10
Non-Crime,2017,02,11
Non-Crime,2017,02,13
Non-Crime,2017,02,16
Non-Crime,2016,12,18
Non-Crime,2016,12,18
Non-Crime,2016,12,20
Non-Crime,2016,12,21
Psychiatric Detention,2016,12,23
Non-Crime,2016,12,29
Non-Crime,2017,01,04
Non-Crime,2017,01,03
Non-Crime,2017,01,01
Non-Crime,2017,01,01
Non-Crime,2017,01,05
Non-Crime,2017,01,14
Non-Crime,2016,11,18
Non-Crime,2016,11,20
Non-Crime,2016,11,20
Non-Crime,2016,11,23
Non-Crime,2016,11,29
Non-Crime,2016,11,30
Non-Crime,2016,12,04
Non-Crime,2016,12,05
Non-Crime,2016,12,09
Non-Crime,2016,12,09
Non-Crime,2016,12,15
Non-Crime,2016,12,15
Non-Crime,2016,10,17
Non-Crime,2016,10,24
Non-Crime,2016,10,24
Non-Crime,2016,10,24
Non-Crime,2016,10,19
Non-Crime,2016,10,29
Non-Crime,2016,10,31
Non-Crime,2016,10,31
